month_day|name|rank|scope
January 2|Saints Basil the Great and Gregory Nazianzen|Memorial|UNIVERSAL
January 4|Saint Elizabeth Ann Seton|Memorial|USA
January 5|Saint John Neumann|Memorial|USA
January 6|Saint Andre Bessette|Optional Memorial|USA
January 7|Saint Raymond of Penyafort|Optional Memorial|UNIVERSAL
January 13|Saint Hilary|Optional Memorial|UNIVERSAL
January 17|Saint Anthony|Memorial|UNIVERSAL
January 20|Saint Fabian|Optional Memorial|UNIVERSAL
January 20|Saint Sebastian|Optional Memorial|UNIVERSAL
January 21|Saint Agnes|Memorial|UNIVERSAL
January 22|Saint Vincent|Optional Memorial|UNIVERSAL
January 23|Saint Marianne Cope|Optional Memorial|USA
January 24|Saint Francis de Sales|Memorial|UNIVERSAL
January 26|Saints Timothy and Titus|Memorial|UNIVERSAL
January 27|Saint Angela Merici|Optional Memorial|UNIVERSAL
January 28|Saint Thomas Aquinas|Memorial|UNIVERSAL
January 31|Saint John Bosco|Memorial|UNIVERSAL
February 3|Saint Blaise|Optional Memorial|UNIVERSAL
February 3|Saint Ansgar|Optional Memorial|UNIVERSAL
February 5|Saint Agatha|Memorial|UNIVERSAL
February 6|Saints Paul Miki and Companions|Memorial|UNIVERSAL
February 8|Saint Jerome Emiliani|Optional Memorial|UNIVERSAL
February 8|Saint Josephine Bakhita|Optional Memorial|UNIVERSAL
February 10|Saint Scholastica|Memorial|UNIVERSAL
February 11|Our Lady of Lourdes|Optional Memorial|MARIAN
February 14|Saints Cyril and Methodius|Memorial|UNIVERSAL
February 17|The Seven Holy Founders of the Servite Order|Optional Memorial|UNIVERSAL
February 21|Saint Peter Damian|Optional Memorial|UNIVERSAL
February 23|Saint Polycarp|Memorial|UNIVERSAL
February 27|Saint Gregory of Narek|Optional Memorial|UNIVERSAL
March 3|Saint Katharine Drexel|Optional Memorial|USA
March 4|Saint Casimir|Optional Memorial|UNIVERSAL
March 7|Saints Perpetua and Felicity|Memorial|UNIVERSAL
March 8|Saint John of God|Optional Memorial|UNIVERSAL
March 9|Saint Frances of Rome|Optional Memorial|UNIVERSAL
March 17|Saint Patrick|Optional Memorial|UNIVERSAL
March 18|Saint Cyril of Jerusalem|Optional Memorial|UNIVERSAL
March 19|Saint Joseph|Solemnity|UNIVERSAL
March 23|Saint Turibius of Mongrovejo|Optional Memorial|UNIVERSAL
