name,qid,sitelinks,burial,lat,lon,image_url,source_url,existing_site_match
Mother Teresa,Q30547,199,Mother House Of The Missionaries Of Charity,22.553067423,88.363666479,http://commons.wikimedia.org/wiki/Special:FilePath/MotherTeresa%20090.jpg,https://www.wikidata.org/wiki/Q30547,
Charlemagne,Q3044,186,Palatine Chapel in Aachen,50.7747,6.08444,http://commons.wikimedia.org/wiki/Special:FilePath/Charlemagne%20denier%20Mayence%20812%20814.jpg,https://www.wikidata.org/wiki/Q3044,
Antoni Gaudí,Q25328,131,Basilica and Expiatory Church of the Holy Family,41.40369,2.17433,http://commons.wikimedia.org/wiki/Special:FilePath/Gaud%C3%AD%20%281878%29.jpg,https://www.wikidata.org/wiki/Q25328,
John Paul I,Q37278,125,Vatican Grotto,41.90222222,12.45333333,http://commons.wikimedia.org/wiki/Special:FilePath/Paus%20Johannes%20Paulus%20I%20%28Bestanddeelnr%20929-9074%29%20%28cropped%29.jpg,https://www.wikidata.org/wiki/Q37278,
Pius XII,Q2604,122,Vatican Grotto,41.90222222,12.45333333,http://commons.wikimedia.org/wiki/Special:FilePath/Pius%20XII%20with%20tabard%2C%20by%20Michael%20Pitcairn%2C%201951%20%28retouched%29.jpg,https://www.wikidata.org/wiki/Q2604,
Gregory I,Q42827,112,St. Peter's Basilica,41.902222222,12.453416666,http://commons.wikimedia.org/wiki/Special:FilePath/Pope%20Gregory%20I%20illustration.jpg,https://www.wikidata.org/wiki/Q42827,St. Peter's Basilica
Clement,Q42887,110,Basilica of San Clemente,41.88929503,12.49756288,http://commons.wikimedia.org/wiki/Special:FilePath/Clemens%20Romanus.jpg,https://www.wikidata.org/wiki/Q42887,Basilica of San Clemente
Pius IX,Q43720,109,Tomb of Pius IX,41.9024909,12.5203729,http://commons.wikimedia.org/wiki/Special:FilePath/Pius%20IX%2C%20by%20Adolphe%20Braun%2C%201875.jpg,https://www.wikidata.org/wiki/Q43720,
Isabella I of Castile,Q45859,104,Royal Chapel of Granada,37.175986111,-3.599036111,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20de%20Flandes%20-%20Isabel%20la%20Cat%C3%B3lica%20%28Palacio%20Real%2C%20Madrid%2C%201500-04.%20%C3%93leo%20sobre%20tabla%2C%2063%20x%2055%20cm%29.jpg,https://www.wikidata.org/wiki/Q45859,
Linus,Q47144,98,St. Peter's Basilica,41.902222222,12.453416666,http://commons.wikimedia.org/wiki/Special:FilePath/2-St.Linus.jpg,https://www.wikidata.org/wiki/Q47144,St. Peter's Basilica
