name|canonization_date|pope|birth_year|death_year|group_count|confidence
Justus of Novalesa|1903-09-07|Pius X||906||LOW
Theobald of Vienne|1903-12-09|Pius X||c1001||LOW
Clair of Dauphine|1903-12-09|Pius X||660||LOW
Ferjus of Grenoble|1903-12-09|Pius X||659||LOW
Bernard of Vienne|1903-12-09|Pius X|778|841||LOW
Amadeus of Lausanne|1903-12-09|Pius X|1110|1159||LOW
Eldrad of Novalesa|1903-12-09|Pius X|781|875||LOW
Hugh of Bonnevaux|1903-12-09|Pius X|c1120|1194||LOW
John of Valence|1903-12-09|Pius X||1146||LOW
Arey of Gap|1903-12-09|Pius X|c535|604||LOW
Ceratus of Grenoble|1903-12-09|Pius X||c451||LOW
Justus of Condat|1903-12-09|Pius X||||LOW
Stephen of Chatillon|1903-12-09|Pius X|1155|1208||LOW
Ismidon of Sassenage|1903-12-09|Pius X||1115||LOW
Leonian of Vienne|1903-12-09|Pius X||570||LOW
Isicius of Vienne|1903-12-09|Pius X||||LOW
Namatius of Vienne|1903-12-09|Pius X|486|559||LOW
Aprus of Sens|1903-12-09|Pius X||c650||LOW
Arialdo of Milan|1904-07-13|Pius X|c1010|1066||LOW
Alexander Sauli|1904-12-11|Pius X|1534|1592||OK
Gerard Majella|1904-12-11|Pius X|1726|1755||OK
Sigisbert of Disentis|1905-12-06|Pius X||||LOW
Placidus of Disentis|1905-12-06|Pius X||||LOW
John of Montemarano|1906-03-02|Pius X||1095||LOW
Alice of Schaerbeek|1907-04-24|Pius X|c1225|1250||LOW
Romedius|1907-07-24|Pius X|330|400||LOW
Vivaldo of San Gimignano|1908-02-13|Pius X|1260|1320||LOW
Felicius|1908-08-12|Pius X||||LOW
Potentinus|1908-08-12|Pius X||||LOW
Simplicius|1908-08-12|Pius X||||LOW
Clement Mary Hofbauer|1909-05-20|Pius X|1750|1820||OK
Joseph Oriol|1909-05-20|Pius X|1650|1702||OK
Gabriel Possenti|1920-05-13|Benedict XV|1838|1862||OK
Margaret Mary Alacoque|1920-05-13|Benedict XV|1647|1690||OK
Joan of Arc|1920-05-16|Benedict XV|1412|1431||OK
Therese of Lisieux|1925-05-17|Pius XI|1873|1897||OK
Peter Canisius|1925-05-21|Pius XI|1521|1597||OK
Madeleine Sophie Barat|1925-05-24|Pius XI|1779|1865||OK
Marie-Madeleine Postel|1925-05-24|Pius XI|1756|1846||OK
Bogumil of Dobrow|1925-05-27|Pius XI|c1138|1182||OK
John Vianney|1925-05-31|Pius XI|1786|1859||OK
John Eudes|1925-05-31|Pius XI|1601|1680||OK
Catherine Thomas|1930-06-22|Pius XI|1533|1574||OK
Lucy Filippini|1930-06-22|Pius XI|1672|1732||OK
Canadian Martyrs|1930-06-29|Pius XI|||8|OK
Robert Bellarmine|1930-06-29|Pius XI|1542|1621||OK
Theophilus of Corte|1930-06-29|Pius XI|1676|1740||OK
Albert the Great|1931-12-16|Pius XI|1206|1280||OK
Andrew Hubert Fournet|1933-06-04|Pius XI|1752|1834||OK
Bernadette Soubirous|1933-12-08|Pius XI|1844|1879||OK
Jeanne Antide Thouret|1934-01-14|Pius XI|1765|1826||OK
Maria Micaela Desmaisieres|1934-03-04|Pius XI|1809|1865||OK
Louise de Marillac|1934-03-11|Pius XI|1591|1660||OK
Giuseppe Benedetto Cottolengo|1934-03-19|Pius XI|1786|1842||OK
Pompilio Maria Pirrotti|1934-03-19|Pius XI|1710|1766||OK
Teresa Margaret of the Sacred Heart|1934-03-19|Pius XI|1747|1770||OK
John Bosco|1934-04-01|Pius XI|1815|1888||OK
Conrad of Parzham|1934-05-20|Pius XI|1818|1894||OK
John Fisher|1935-05-19|Pius XI|1469|1535||OK
Thomas More|1935-05-19|Pius XI|1478|1535||OK
Hemma of Gurk|1938-01-05|Pius XI|c995|1045||OK
Andrew Bobola|1938-04-17|Pius XI|1591|1657||OK
Giovanni Leonardi|1938-04-17|Pius XI|1541|1609||OK
Salvador of Horta|1938-04-17|Pius XI|1520|1567||OK
Mary Euphrasia Pelletier|1940-05-02|Pius XII|1796|1868||OK
Gemma Galgani|1940-05-02|Pius XII|1878|1903||OK
Margaret of Hungary|1943-11-19|Pius XII|1242|1270||OK
Frances Xavier Cabrini|1946-07-07|Pius XII|1850|1917||OK
Nicholas of Flue|1947-05-15|Pius XII|1417|1487||OK
Bernardino Realino|1947-06-22|Pius XII|1530|1616||OK
John de Britto|1947-06-22|Pius XII|1647|1693||OK
Joseph Cafasso|1947-06-22|Pius XII|1811|1860||OK
Jeanne-Elisabeth Bichier des Ages|1947-07-07|Pius XII|1773|1838||OK
Michael Garicoits|1947-07-07|Pius XII|1797|1863||OK
Louis Marie Grignion de Montfort|1947-07-20|Pius XII|1673|1716||OK
Catherine Laboure|1947-07-28|Pius XII|1806|1876||OK
Jeanne de Lestonnac|1949-05-15|Pius XII|1556|1640||OK
Maria Giuseppa Rossello|1949-06-12|Pius XII|1811|1880||OK
Emilie de Rodat|1950-04-23|Pius XII|1787|1852||OK
Anthony Mary Claret|1950-05-07|Pius XII|1807|1870||OK
Bartolomea Capitanio|1950-05-18|Pius XII|1807|1833||OK
Vincenza Gerosa|1950-05-18|Pius XII|1784|1847||OK
Jeanne de France|1950-05-28|Pius XII|1464|1505||OK
Vincenzo Maria Strambi|1950-06-11|Pius XII|1745|1824||OK
Maria Goretti|1950-06-24|Pius XII|1890|1902||OK
Mariana de Jesus de Paredes|1950-07-09|Pius XII|1618|1645||OK
Emilie de Vialar|1951-06-24|Pius XII|1797|1856||OK
Maria Domenica Mazzarello|1951-06-24|Pius XII|1837|1881||OK
Antonio Maria Gianelli|1951-10-21|Pius XII|1789|1846||OK
Francis Xavier Bianchi|1951-10-21|Pius XII|1743|1815||OK
Ignatius of Laconi|1951-10-21|Pius XII|1701|1781||OK
Pope Pius X|1954-05-29|Pius XII|1835|1914||OK
Dominic Savio|1954-06-12|Pius XII|1842|1857||OK
Gaspar del Bufalo|1954-06-12|Pius XII|1786|1837||OK
Joseph Mary Pignatelli|1954-06-12|Pius XII|1737|1811||OK
Maria Crocifissa Di Rosa|1954-06-12|Pius XII|1813|1855||OK
Peter Chanel|1954-06-12|Pius XII|1803|1841||OK
Hermann Joseph|1958-08-11|Pius XII|c1150|1241||OK
Charles of Sezze|1959-04-12|John XXIII|1613|1670||OK
Joaquina de Vedruna|1959-04-12|John XXIII|1783|1854||OK
Gregorio Barbarigo|1960-05-26|John XXIII|1625|1697||OK
Juan de Ribera|1960-06-12|John XXIII|1532|1611||OK
Maria Bertilla Boscardin|1961-05-11|John XXIII|1888|1922||OK
Martin de Porres|1962-05-06|John XXIII|1579|1639||OK
Antonio Maria Pucci|1962-12-09|John XXIII|1819|1892||OK
Francesco Maria da Camporosso|1962-12-09|John XXIII|1804|1866||OK
Peter Julian Eymard|1962-12-09|John XXIII|1811|1868||OK
Vincent Pallotti|1963-01-20|John XXIII|1795|1850||OK
Charles Lwanga and Companions|1964-10-18|Paul VI|||22|OK
Adelaide of Vilich|1966-01-27|Paul VI|c970|1015||OK
Benildus Romancon|1967-10-29|Paul VI|1805|1862||OK
Julie Billiart|1969-06-22|Paul VI|1751|1816||OK
Berthold of Garsten|1970-01-08|Paul VI|c1060|1142||OK
Maria Soledad Torres Acosta|1970-01-25|Paul VI|1826|1887||OK
Leonardo Murialdo|1970-05-03|Paul VI|1828|1900||OK
Therese Couderc|1970-05-10|Paul VI|1805|1885||OK
John of Avila|1970-05-31|Paul VI|1499|1569||OK
Nikola Tavelic and Companions|1970-06-21|Paul VI|||4|OK
Cuthbert Mayne and Companions|1970-10-25|Paul VI|||40|OK
Teresa Jornet Ibars|1974-01-27|Paul VI|1843|1897||OK
John Baptist of the Conception|1975-05-25|Paul VI|1561|1613||OK
Vincentia Maria Lopez y Vicuna|1975-05-25|Paul VI|1847|1890||OK
Elizabeth Ann Seton|1975-09-14|Paul VI|1774|1821||OK
John Macias|1975-09-28|Paul VI|1585|1645||OK
Oliver Plunkett|1975-10-12|Paul VI|1625|1681||OK
Justin de Jacobis|1975-10-26|Paul VI|1800|1860||OK
Dorothea of Montau|1976-01-09|Paul VI|1347|1394||OK
Beatrice of Silva|1976-10-03|Paul VI|c1424|1492||OK
John Ogilvie|1976-10-17|Paul VI|c1580|1615||OK
Rafaela Porras Ayllon|1977-01-23|Paul VI|1850|1925||OK
John Neumann|1977-06-19|Paul VI|1811|1860||OK
Charbel Makhlouf|1977-10-09|Paul VI|1828|1898||OK
Crispin of Viterbo|1982-06-20|John Paul II|1668|1750||OK
Maximilian Kolbe|1982-10-10|John Paul II|1894|1941||OK
Marguerite Bourgeoys|1982-10-31|John Paul II|1620|1700||OK
Jeanne Delanoue|1982-10-31|John Paul II|1666|1736||OK
Leopold Mandic|1983-10-16|John Paul II|1866|1942||OK
Paula Frassinetti|1984-03-11|John Paul II|1809|1882||OK
Andrew Kim Taegon and Companions|1984-05-06|John Paul II|||103|OK
Miguel Febres Cordero|1984-10-21|John Paul II|1854|1910||OK
Francis Anthony Fasani|1986-04-13|John Paul II|1681|1742||OK
Joseph Tomasi|1986-10-12|John Paul II|1649|1713||OK
Lorenzo Ruiz and Companions|1987-10-18|John Paul II|||16|OK
Giuseppe Moscati|1987-10-25|John Paul II|1880|1927||OK
Roque Gonzalez de Santa Cruz|1988-05-16|John Paul II|1576|1628||OK
Alfonso Rodriguez Olmedo|1988-05-16|John Paul II|1598|1628||OK
Juan de Castillo|1988-05-16|John Paul II|1595|1628||OK
Eustochia Smeralda Calafato|1988-06-11|John Paul II|1434|1485||OK
Andrew Dung-Lac and Companions|1988-06-19|John Paul II|||117|OK
Simon de Rojas|1988-07-03|John Paul II|1552|1624||OK
Rose Philippine Duchesne|1988-07-03|John Paul II|1769|1852||OK
Magdalene of Canossa|1988-10-02|John Paul II|1774|1835||OK
Maria Rosa Molas y Vallve|1988-12-11|John Paul II|1815|1876||OK
Clelia Barbieri|1989-04-09|John Paul II|1847|1870||OK
Gaspar Bertoni|1989-11-01|John Paul II|1777|1853||OK
Richard Pampuri|1989-11-01|John Paul II|1897|1930||OK
Agnes of Bohemia|1989-11-12|John Paul II|1211|1282||OK
Albert Chmielowski|1989-11-12|John Paul II|1845|1916||OK
Mutien-Marie Wiaux|1989-12-10|John Paul II|1841|1917||OK
Marie-Marguerite d Youville|1990-12-09|John Paul II|1701|1771||OK
Raphael Kalinowski|1991-11-17|John Paul II|1835|1907||OK
Claude de la Colombiere|1992-05-31|John Paul II|1641|1682||OK
Ezequiel Moreno y Diaz|1992-10-11|John Paul II|1848|1906||OK
Claudine Thevenet|1993-03-21|John Paul II|1774|1837||OK
Teresa of Jesus of Los Andes|1993-03-21|John Paul II|1900|1920||OK
Enrique de Osso y Cercello|1993-06-16|John Paul II|1840|1896||OK
Meinhard|1993-09-08|John Paul II|c1135|1196||OK
Jan Sarkander|1995-05-21|John Paul II|1576|1620||OK
Zdislava Berka|1995-05-21|John Paul II|c1220|1252||OK
Marko Krizin|1995-07-02|John Paul II|c1588|1619||OK
Stephen Pongracz|1995-07-02|John Paul II|1584|1619||OK
Melchior Grodziecki|1995-07-02|John Paul II|c1582|1619||OK
Eugene de Mazenod|1995-12-03|John Paul II|1782|1861||OK
Jean-Gabriel Perboyre|1996-06-02|John Paul II|1802|1840||OK
Egidio Maria of Saint Joseph|1996-06-02|John Paul II|1729|1812||OK
Juan Grande Roman|1996-06-02|John Paul II|1546|1600||OK
Jadwiga of Poland|1997-06-08|John Paul II|1373|1399||OK
John of Dukla|1997-06-10|John Paul II|1414|1484||OK
Teresa Benedict of the Cross|1998-10-11|John Paul II|1891|1942||OK
Marcellin Champagnat|1999-04-18|John Paul II|1789|1840||OK
John Calabria|1999-04-18|John Paul II|1873|1954||OK
Agostina Livia Pietrantoni|1999-04-18|John Paul II|1864|1894||OK
Kinga|1999-06-16|John Paul II|1224|1292||OK
Cirilo Bertran and Companions|1999-11-21|John Paul II|||9|OK
Innocencio of Mary Immaculate|1999-11-21|John Paul II|1887|1934||OK
Benedict Menni|1999-11-21|John Paul II|1841|1914||OK
Thomas of Cori|1999-11-21|John Paul II|1655|1729||OK
Faustina Kowalska|2000-04-30|John Paul II|1905|1938||OK
Cristobal Magallanes and Companions|2000-05-21|John Paul II|||25|OK
Maria Natividad Venegas de la Torre|2000-05-21|John Paul II|1868|1959||OK
Jose Maria de Yermo y Parres|2000-05-21|John Paul II|1851|1904||OK
Augustine Zhao Rong and Companions|2000-10-01|John Paul II|||120|OK
Katharine Drexel|2000-10-01|John Paul II|1858|1955||OK
Josephine Bakhita|2000-10-01|John Paul II|c1869|1947||OK
Maria Josefa Sancho de Guerra|2000-10-01|John Paul II|1842|1912||OK
Luigi Scrosoppi|2001-06-10|John Paul II|1804|1884||OK
Agostino Roscelli|2001-06-10|John Paul II|1818|1902||OK
Bernard of Corleone|2001-06-10|John Paul II|1605|1667||OK
Ignazia Verzeri|2001-06-10|John Paul II|1801|1852||OK
Rafqa Pietra Choboq Ar-Rayes|2001-06-10|John Paul II|1832|1914||OK
Joseph Marello|2001-11-25|John Paul II|1844|1895||OK
Paula Montal Fornes|2001-11-25|John Paul II|1799|1889||OK
Maria Crescentia Hoss|2001-11-25|John Paul II|1682|1744||OK
Leonie Aviat|2001-11-25|John Paul II|1844|1914||OK
Alonso de Orozco|2002-05-19|John Paul II|1500|1591||OK
Ignatius of Santhia|2002-05-19|John Paul II|1686|1770||OK
Humilis of Bisignano|2002-05-19|John Paul II|1582|1637||OK
Benedetta Cambiagio Frassinello|2002-05-19|John Paul II|1791|1858||OK
Paulina of the Agonizing Heart of Jesus|2002-05-19|John Paul II|1865|1942||OK
Padre Pio of Pietrelcina|2002-06-16|John Paul II|1887|1968||OK
Peter of Saint Joseph Betancur|2002-07-30|John Paul II|1626|1667||OK
Juan Diego|2002-07-31|John Paul II|1474|1548||OK
Josemaria Escriva|2002-10-06|John Paul II|1902|1975||OK
Pedro Poveda Castroverde|2003-05-04|John Paul II|1874|1936||OK
Jose Maria Rubio|2003-05-04|John Paul II|1864|1929||OK
Angela of the Cross|2003-05-04|John Paul II|1846|1932||OK
Maria de las Maravillas de Jesus|2003-05-04|John Paul II|1891|1974||OK
Genoveva Torres Morales|2003-05-04|John Paul II|1870|1956||OK
Virginia Centurione Bracelli|2003-05-18|John Paul II|1587|1651||OK
Maria De Mattias|2003-05-18|John Paul II|1805|1866||OK
Ursula Ledochowska|2003-05-18|John Paul II|1865|1939||OK
Jozef Sebastian Pelczar|2003-05-18|John Paul II|1842|1924||OK
Daniel Comboni|2003-10-05|John Paul II|1831|1881||OK
Joseph Freinademetz|2003-10-05|John Paul II|1852|1908||OK
Arnold Janssen|2003-10-05|John Paul II|1837|1909||OK
Gianna Beretta Molla|2004-05-16|John Paul II|1922|1962||OK
Luigi Orione|2004-05-16|John Paul II|1872|1940||OK
Hannibal Mary Di Francia|2004-05-16|John Paul II|1851|1927||OK
Joseph Manyanet i Vives|2004-05-16|John Paul II|1833|1901||OK
Nimatullah Kassab Al-Hardini|2004-05-16|John Paul II|1808|1858||OK
